============================================================
Neural Mutator Evolution (True Self-Replication)
============================================================
Environment: CartPole-v1 (obs=4, act=2)
Genome: 4610 policy params + 33089 mutator params = 37699 total
Mutator type: chunk, Quine lambda: 0.5
Population: 30, Generations: 100

Gen   92 | Best:   139.40 | Mean:    84.89 | Fidelity: 0.0030 | Drift: 14.1861
Gen   93 | Best:   141.80 | Mean:    85.87 | Fidelity: 0.0029 | Drift: 14.1875
Gen   94 | Best:   140.20 | Mean:    87.75 | Fidelity: 0.0029 | Drift: 14.1857
Gen   95 | Best:   135.00 | Mean:    87.99 | Fidelity: 0.0028 | Drift: 14.1857
Gen   96 | Best:   130.00 | Mean:    86.80 | Fidelity: 0.0027 | Drift: 14.1854
Gen   97 | Best:   140.00 | Mean:    89.16 | Fidelity: 0.0026 | Drift: 14.1859
Gen   98 | Best:   133.20 | Mean:    86.39 | Fidelity: 0.0025 | Drift: 14.1858
Gen   99 | Best:   133.40 | Mean:    87.16 | Fidelity: 0.0024 | Drift: 14.1856

Done in 208.7s
Final best:  133.40
Final mean:  87.16
Final mean fidelity: 0.0024
Final mean drift: 14.1856
Results saved: results/self_replication/CartPole-v1_chunk_ql0.5_s42.json
Plot saved: results/self_replication/CartPole-v1_chunk_ql0.5_s42.png
